  - TABLE FOR GHG-X4 refrigerant REFPROP V4.0 simulation
     T         P          V       Density    Entropy    Enthalpy      Cv      	 
  deg F      psia      ft3/ lb     lb/ft3    Btu/lb.F   Btu/lb     Btu/lb.F   	 
  -60.00     3.693      11.84     0.8445E-01 0.2627       93.77    0.1282     V
  -60.00     6.050     0.1162E-01  86.09     0.1049E-01   -5.26    0.2263     L
  	  
  -55.00     4.328      10.21     0.9791E-01 0.2612       94.48    0.1293     V
  -55.00     6.988     0.1167E-01  85.66     0.1365E-01   -3.98    0.2274     L
  	  
  -50.00     5.050      8.847     0.1130     0.2598       95.18    0.1304     V
  -50.00     8.039     0.1173E-01  85.24     0.1680E-01   -2.70    0.2284     L
  	  
  -45.00     5.866      7.695     0.1300     0.2585       95.89    0.1314     V
  -45.00     9.213     0.1179E-01  84.81     0.1991E-01   -1.41    0.2295     L
  	  
  -40.00     6.785      6.719     0.1488     0.2573       96.59    0.1325     V
  -40.00     10.52     0.1185E-01  84.38     0.2301E-01   -0.12    0.2305     L
  	  
  -35.00     7.818      5.888     0.1698     0.2561       97.29    0.1336     V
  -35.00     11.97     0.1191E-01  83.95     0.2609E-01    1.19    0.2315     L
  	  
  -30.00     8.972      5.178     0.1931     0.2550       98.00    0.1347     V
  -30.00     13.57     0.1197E-01  83.51     0.2914E-01    2.50    0.2325     L
  	  
  -25.00     10.26      4.570     0.2188     0.2539       98.70    0.1358     V
  -25.00     15.34     0.1204E-01  83.07     0.3218E-01    3.81    0.2335     L
  	  
  -20.00     11.69      4.045     0.2472     0.2529       99.40    0.1368     V
  -20.00     17.28     0.1210E-01  82.63     0.3519E-01    5.13    0.2345     L
  	  
  -15.00     13.28      3.592     0.2784     0.2520      100.09    0.1379     V
  -15.00     19.41     0.1217E-01  82.19     0.3819E-01    6.47    0.2355     L
  	  
  -10.00     15.03      3.199     0.3126     0.2511      100.79    0.1390     V
  -10.00     21.74     0.1223E-01  81.74     0.4116E-01    7.80    0.2365     L
  	  
   -5.00     16.95      2.857     0.3500     0.2502      101.48    0.1401     V
   -5.00     24.29     0.1230E-01  81.28     0.4412E-01    9.15    0.2375     L
  	  
    0.00     19.07      2.559     0.3908     0.2494      102.17    0.1412     V
    0.00     27.05     0.1237E-01  80.82     0.4706E-01   10.50    0.2384     L
  	  
    5.00     21.39      2.297     0.4354     0.2486      102.85    0.1423     V
    5.00     30.06     0.1244E-01  80.36     0.4999E-01   11.86    0.2393     L
  	  
   10.00     23.93      2.067     0.4837     0.2479      103.53    0.1434     V
   10.00     33.31     0.1252E-01  79.89     0.5290E-01   13.23    0.2403     L
  	  
   15.00     26.70      1.865     0.5363     0.2472      104.20    0.1445     V
   15.00     36.83     0.1259E-01  79.42     0.5579E-01   14.60    0.2412     L
  	  
   20.00     29.71      1.686     0.5932     0.2465      104.87    0.1456     V
   20.00     40.63     0.1267E-01  78.94     0.5867E-01   15.98    0.2421     L
  	  
